2014년도 광역지자체 교통사고 현황,,,,,,,,,
,,,,,,,,,
시도,교통여건,,,교통사고 현황(경찰DB),,,교통사고 현황(통합DB),,
,자동차등록대수(대),인구수(명),도로연장(명),사고건수(건),사망자수(명),부상자수(명),사고건수(건),사망자수(명),부상자수(명)
계,"23,853,034","50,423,955","105,673","223,552","4,762","337,497","1,129,374","4,762","1,792,235"
서울,"3,511,201","9,890,661","8,239","40,792",400,"57,345","201,723",400,"292,979"
부산,"1,368,153","3,411,930","3,276","12,693",168,"18,030","66,660",168,"100,038"
경기,"5,221,294","12,280,678","12,859","48,112",910,"73,844","251,534",910,"406,059"
강원,"825,852","1,501,041","9,775","8,605",223,"14,322","34,169",223,"61,305"
충북,"887,116","1,558,912","6,645","8,937",253,"14,759","34,912",253,"59,530"
충남,"1,235,034","2,078,771","6,892","8,360",405,"12,901","48,565",405,"86,371"
전북,"1,053,236","1,797,031","8,170","9,569",335,"15,127","40,553",335,"67,760"
전남,"1,167,238","1,758,340","10,553","10,100",417,"16,593","33,258",417,"56,545"
경북,"1,726,293","2,640,441","12,342","15,346",480,"23,496","58,281",480,"94,570"
경남,"1,859,463","3,273,079","12,241","13,434",416,"19,571","64,188",416,"101,050"
제주,"436,927","581,069","3,196","4,484",92,"6,656","12,511",92,"19,774"
대구,"1,228,664","2,459,901","2,665","14,519",185,"20,814","61,760",185,"92,092"
인천,"1,342,742","2,858,348","2,772","8,846",149,"13,420","60,531",149,"95,714"
광주,"645,520","1,515,992","1,802","8,194",101,"13,289","39,060",101,"64,347"
대전,"668,026","1,545,717","2,067","5,899",100,"8,893","36,053",100,"58,438"
울산,"591,142","1,138,225","1,777","5,180",108,"7,587","26,620",108,"39,749"
세종,"85,133","133,819",400,482,20,850,"1,043",20,"1,846"
