네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 경제/경영
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 10대

"날짜","경제/경영"
"2021-07-09",31
"2021-07-10",24
"2021-07-11",24
"2021-07-12",63
"2021-07-13",49
"2021-07-14",45
"2021-07-15",38
"2021-07-16",32
"2021-07-17",21
"2021-07-18",14
"2021-07-19",27
"2021-07-20",18
"2021-07-21",17
"2021-07-22",31
"2021-07-23",23
"2021-07-24",14
"2021-07-25",7
"2021-07-26",14
"2021-07-27",18
"2021-07-28",13
"2021-07-29",30
"2021-07-30",11
"2021-07-31",11
"2021-08-01",13
"2021-08-02",11
"2021-08-03",15
"2021-08-04",15
"2021-08-05",17
"2021-08-06",11
"2021-08-07",14
"2021-08-08",15
"2021-08-09",37
"2021-08-10",14
"2021-08-11",7
"2021-08-12",14
"2021-08-13",30
"2021-08-14",8
"2021-08-15",14
"2021-08-16",18
"2021-08-17",25
"2021-08-18",49
"2021-08-19",28
"2021-08-20",25
"2021-08-21",25
"2021-08-22",20
"2021-08-23",41
"2021-08-24",35
"2021-08-25",37
"2021-08-26",37
"2021-08-27",23
"2021-08-28",20
"2021-08-29",32
"2021-08-30",27
"2021-08-31",15
"2021-09-01",72
"2021-09-02",37
"2021-09-03",45
"2021-09-04",24
"2021-09-05",35
"2021-09-06",54
"2021-09-07",42
"2021-09-08",37
"2021-09-09",27
"2021-09-10",30
"2021-09-11",10
"2021-09-12",21
"2021-09-13",30
"2021-09-14",17
"2021-09-15",13
"2021-09-16",17
"2021-09-17",11
"2021-09-18",7
"2021-09-19",8
"2021-09-20",10
"2021-09-21",17
"2021-09-22",20
"2021-09-23",61
"2021-09-24",14
"2021-09-25",31
"2021-09-26",20
"2021-09-27",27
"2021-09-28",25
"2021-09-29",30
"2021-09-30",13
"2021-10-01",35
"2021-10-02",21
"2021-10-03",6
"2021-10-04",31
"2021-10-05",56
"2021-10-06",21
"2021-10-07",27
"2021-10-08",25
"2021-10-09",3
"2021-10-10",18
"2021-10-11",24
"2021-10-12",30
"2021-10-13",56
"2021-10-14",21
"2021-10-15",45
"2021-10-16",13
"2021-10-17",27
"2021-10-18",34
"2021-10-19",37
"2021-10-20",37
"2021-10-21",30
"2021-10-22",15
"2021-10-23",15
"2021-10-24",13
"2021-10-25",37
"2021-10-26",66
"2021-10-27",21
"2021-10-28",18
"2021-10-29",21
"2021-10-30",15
"2021-10-31",44
"2021-11-01",61
"2021-11-02",32
"2021-11-03",20
"2021-11-04",21
"2021-11-05",38
"2021-11-06",24
"2021-11-07",34
"2021-11-08",44
"2021-11-09",31
"2021-11-10",21
"2021-11-11",17
"2021-11-12",14
"2021-11-13",18
"2021-11-14",15
"2021-11-15",20
"2021-11-16",23
"2021-11-17",23
"2021-11-18",20
"2021-11-19",28
"2021-11-20",17
"2021-11-21",24
"2021-11-22",55
"2021-11-23",49
"2021-11-24",28
"2021-11-25",41
"2021-11-26",44
"2021-11-27",14
"2021-11-28",35
"2021-11-29",56
"2021-11-30",46
"2021-12-01",51
"2021-12-02",51
"2021-12-03",59
"2021-12-04",70
"2021-12-05",75
"2021-12-06",52
"2021-12-07",54
"2021-12-08",65
"2021-12-09",20
"2021-12-10",46
"2021-12-11",25
"2021-12-12",58
"2021-12-13",44
"2021-12-14",51
"2021-12-15",49
"2021-12-16",42
"2021-12-17",51
"2021-12-18",30
"2021-12-19",63
"2021-12-20",66
"2021-12-21",32
"2021-12-22",32
"2021-12-23",59
"2021-12-24",44
"2021-12-25",20
"2021-12-26",41
"2021-12-27",72
"2021-12-28",89
"2021-12-29",66
"2021-12-30",63
"2021-12-31",44
"2022-01-01",44
"2022-01-02",45
"2022-01-03",66
"2022-01-04",32
"2022-01-05",41
"2022-01-06",31
"2022-01-07",13
"2022-01-08",11
"2022-01-09",27
"2022-01-10",48
"2022-01-11",20
"2022-01-12",28
"2022-01-13",21
"2022-01-14",17
"2022-01-15",6
"2022-01-16",27
"2022-01-17",23
"2022-01-18",27
"2022-01-19",17
"2022-01-20",37
"2022-01-21",13
"2022-01-22",21
"2022-01-23",18
"2022-01-24",31
"2022-01-25",23
"2022-01-26",28
"2022-01-27",24
"2022-01-28",20
"2022-01-29",24
"2022-01-30",15
"2022-01-31",27
"2022-02-01",21
"2022-02-02",28
"2022-02-03",46
"2022-02-04",46
"2022-02-05",23
"2022-02-06",34
"2022-02-07",27
"2022-02-08",14
"2022-02-09",18
"2022-02-10",15
"2022-02-11",32
"2022-02-12",30
"2022-02-13",21
"2022-02-14",42
"2022-02-15",14
"2022-02-16",14
"2022-02-17",17
"2022-02-18",18
"2022-02-19",18
"2022-02-20",17
"2022-02-21",38
"2022-02-22",34
"2022-02-23",18
"2022-02-24",17
"2022-02-25",14
"2022-02-26",15
"2022-02-27",25
"2022-02-28",7
"2022-03-01",37
"2022-03-02",37
"2022-03-03",34
"2022-03-04",32
"2022-03-05",23
"2022-03-06",20
"2022-03-07",38
"2022-03-08",30
"2022-03-09",35
"2022-03-10",42
"2022-03-11",32
"2022-03-12",24
"2022-03-13",20
"2022-03-14",45
"2022-03-15",37
"2022-03-16",39
"2022-03-17",100
"2022-03-18",32
"2022-03-19",23
"2022-03-20",27
"2022-03-21",41
"2022-03-22",62
"2022-03-23",58
"2022-03-24",37
"2022-03-25",37
"2022-03-26",17
"2022-03-27",31
"2022-03-28",49
"2022-03-29",25
"2022-03-30",76
"2022-03-31",32
"2022-04-01",31
"2022-04-02",13
"2022-04-03",21
"2022-04-04",44
"2022-04-05",25
"2022-04-06",28
"2022-04-07",45
"2022-04-08",41
"2022-04-09",18
"2022-04-10",15
"2022-04-11",38
"2022-04-12",24
"2022-04-13",52
"2022-04-14",25
"2022-04-15",32
"2022-04-16",13
"2022-04-17",21
"2022-04-18",18
"2022-04-19",55
"2022-04-20",27
"2022-04-21",28
"2022-04-22",34
"2022-04-23",30
"2022-04-24",18
"2022-04-25",14
"2022-04-26",17
"2022-04-27",11
"2022-04-28",7
"2022-04-29",23
"2022-04-30",13
"2022-05-01",24
"2022-05-02",25
"2022-05-03",31
"2022-05-04",35
"2022-05-05",8
"2022-05-06",6
"2022-05-07",21
"2022-05-08",28
"2022-05-09",38
"2022-05-10",65
"2022-05-11",25
"2022-05-12",39
"2022-05-13",23
"2022-05-14",17
"2022-05-15",35
"2022-05-16",37
"2022-05-17",23
"2022-05-18",17
"2022-05-19",14
"2022-05-20",38
"2022-05-21",30
"2022-05-22",38
"2022-05-23",25
"2022-05-24",38
"2022-05-25",66
"2022-05-26",30
"2022-05-27",35
"2022-05-28",30
"2022-05-29",15
"2022-05-30",27
"2022-05-31",28
"2022-06-01",21
"2022-06-02",25
"2022-06-03",44
"2022-06-04",14
"2022-06-05",8
"2022-06-06",10
"2022-06-07",38
"2022-06-08",34
"2022-06-09",6
"2022-06-10",28
"2022-06-11",8
"2022-06-12",21
"2022-06-13",38
"2022-06-14",34
"2022-06-15",39
"2022-06-16",34
"2022-06-17",30
"2022-06-18",18
"2022-06-19",24
"2022-06-20",20
"2022-06-21",13
"2022-06-22",21
"2022-06-23",20
"2022-06-24",13
"2022-06-25",10
"2022-06-26",25
"2022-06-27",24
"2022-06-28",7
"2022-06-29",7
"2022-06-30",11
"2022-07-01",21
"2022-07-02",7
"2022-07-03",17
"2022-07-04",10
"2022-07-05",25
"2022-07-06",23
"2022-07-07",34
"2022-07-08",25
"2022-07-09",0
