네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 경제/경영
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 30대

"날짜","경제/경영"
"2021-07-09",21
"2021-07-10",17
"2021-07-11",17
"2021-07-12",19
"2021-07-13",22
"2021-07-14",22
"2021-07-15",17
"2021-07-16",16
"2021-07-17",17
"2021-07-18",20
"2021-07-19",19
"2021-07-20",29
"2021-07-21",29
"2021-07-22",23
"2021-07-23",25
"2021-07-24",22
"2021-07-25",30
"2021-07-26",25
"2021-07-27",27
"2021-07-28",25
"2021-07-29",24
"2021-07-30",24
"2021-07-31",20
"2021-08-01",20
"2021-08-02",21
"2021-08-03",25
"2021-08-04",26
"2021-08-05",24
"2021-08-06",19
"2021-08-07",18
"2021-08-08",24
"2021-08-09",24
"2021-08-10",20
"2021-08-11",24
"2021-08-12",22
"2021-08-13",23
"2021-08-14",18
"2021-08-15",23
"2021-08-16",26
"2021-08-17",31
"2021-08-18",22
"2021-08-19",30
"2021-08-20",20
"2021-08-21",19
"2021-08-22",23
"2021-08-23",30
"2021-08-24",28
"2021-08-25",32
"2021-08-26",30
"2021-08-27",23
"2021-08-28",29
"2021-08-29",44
"2021-08-30",50
"2021-08-31",43
"2021-09-01",44
"2021-09-02",51
"2021-09-03",36
"2021-09-04",32
"2021-09-05",24
"2021-09-06",39
"2021-09-07",38
"2021-09-08",41
"2021-09-09",39
"2021-09-10",35
"2021-09-11",23
"2021-09-12",25
"2021-09-13",28
"2021-09-14",33
"2021-09-15",23
"2021-09-16",21
"2021-09-17",27
"2021-09-18",14
"2021-09-19",19
"2021-09-20",20
"2021-09-21",19
"2021-09-22",26
"2021-09-23",30
"2021-09-24",34
"2021-09-25",28
"2021-09-26",34
"2021-09-27",36
"2021-09-28",30
"2021-09-29",34
"2021-09-30",34
"2021-10-01",29
"2021-10-02",24
"2021-10-03",25
"2021-10-04",25
"2021-10-05",35
"2021-10-06",44
"2021-10-07",38
"2021-10-08",30
"2021-10-09",19
"2021-10-10",22
"2021-10-11",34
"2021-10-12",38
"2021-10-13",29
"2021-10-14",37
"2021-10-15",38
"2021-10-16",24
"2021-10-17",22
"2021-10-18",30
"2021-10-19",39
"2021-10-20",34
"2021-10-21",34
"2021-10-22",26
"2021-10-23",20
"2021-10-24",21
"2021-10-25",40
"2021-10-26",33
"2021-10-27",30
"2021-10-28",30
"2021-10-29",23
"2021-10-30",23
"2021-10-31",27
"2021-11-01",31
"2021-11-02",37
"2021-11-03",33
"2021-11-04",38
"2021-11-05",30
"2021-11-06",29
"2021-11-07",27
"2021-11-08",35
"2021-11-09",45
"2021-11-10",41
"2021-11-11",40
"2021-11-12",34
"2021-11-13",31
"2021-11-14",33
"2021-11-15",41
"2021-11-16",40
"2021-11-17",44
"2021-11-18",41
"2021-11-19",41
"2021-11-20",25
"2021-11-21",33
"2021-11-22",44
"2021-11-23",53
"2021-11-24",50
"2021-11-25",43
"2021-11-26",41
"2021-11-27",28
"2021-11-28",43
"2021-11-29",54
"2021-11-30",59
"2021-12-01",58
"2021-12-02",55
"2021-12-03",48
"2021-12-04",46
"2021-12-05",48
"2021-12-06",54
"2021-12-07",57
"2021-12-08",52
"2021-12-09",54
"2021-12-10",46
"2021-12-11",46
"2021-12-12",44
"2021-12-13",54
"2021-12-14",58
"2021-12-15",55
"2021-12-16",51
"2021-12-17",43
"2021-12-18",42
"2021-12-19",44
"2021-12-20",55
"2021-12-21",53
"2021-12-22",50
"2021-12-23",55
"2021-12-24",37
