네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 40대

"날짜","도서"
"2021-07-09",32
"2021-07-10",34
"2021-07-11",40
"2021-07-12",42
"2021-07-13",38
"2021-07-14",39
"2021-07-15",36
"2021-07-16",34
"2021-07-17",35
"2021-07-18",40
"2021-07-19",42
"2021-07-20",41
"2021-07-21",40
"2021-07-22",37
"2021-07-23",32
"2021-07-24",32
"2021-07-25",36
"2021-07-26",37
"2021-07-27",36
"2021-07-28",34
"2021-07-29",34
"2021-07-30",29
"2021-07-31",30
"2021-08-01",36
"2021-08-02",36
"2021-08-03",38
"2021-08-04",37
"2021-08-05",35
"2021-08-06",30
"2021-08-07",32
"2021-08-08",37
"2021-08-09",39
"2021-08-10",34
"2021-08-11",33
"2021-08-12",36
"2021-08-13",31
"2021-08-14",33
"2021-08-15",33
"2021-08-16",42
"2021-08-17",42
"2021-08-18",41
"2021-08-19",39
"2021-08-20",34
"2021-08-21",37
"2021-08-22",40
"2021-08-23",45
"2021-08-24",45
"2021-08-25",45
"2021-08-26",42
"2021-08-27",35
"2021-08-28",36
"2021-08-29",44
"2021-08-30",46
"2021-08-31",47
"2021-09-01",48
"2021-09-02",47
"2021-09-03",42
"2021-09-04",41
"2021-09-05",46
"2021-09-06",49
"2021-09-07",46
"2021-09-08",44
"2021-09-09",42
"2021-09-10",37
"2021-09-11",34
"2021-09-12",42
"2021-09-13",41
"2021-09-14",41
"2021-09-15",37
"2021-09-16",33
"2021-09-17",26
"2021-09-18",26
"2021-09-19",26
"2021-09-20",24
"2021-09-21",26
"2021-09-22",38
"2021-09-23",42
"2021-09-24",36
"2021-09-25",36
"2021-09-26",40
"2021-09-27",42
"2021-09-28",41
"2021-09-29",40
"2021-09-30",35
"2021-10-01",34
"2021-10-02",34
"2021-10-03",33
"2021-10-04",43
"2021-10-05",43
"2021-10-06",41
"2021-10-07",41
"2021-10-08",35
"2021-10-09",31
"2021-10-10",38
"2021-10-11",43
"2021-10-12",40
"2021-10-13",42
"2021-10-14",39
"2021-10-15",36
"2021-10-16",35
"2021-10-17",37
"2021-10-18",38
"2021-10-19",40
"2021-10-20",37
"2021-10-21",37
"2021-10-22",34
"2021-10-23",33
"2021-10-24",39
"2021-10-25",40
"2021-10-26",42
"2021-10-27",40
"2021-10-28",38
"2021-10-29",35
"2021-10-30",36
"2021-10-31",43
"2021-11-01",50
"2021-11-02",46
"2021-11-03",46
"2021-11-04",45
"2021-11-05",38
"2021-11-06",38
"2021-11-07",44
"2021-11-08",50
"2021-11-09",48
"2021-11-10",46
"2021-11-11",43
"2021-11-12",38
"2021-11-13",37
"2021-11-14",42
"2021-11-15",44
"2021-11-16",45
"2021-11-17",40
"2021-11-18",40
"2021-11-19",41
"2021-11-20",43
"2021-11-21",52
"2021-11-22",52
"2021-11-23",50
"2021-11-24",51
"2021-11-25",51
"2021-11-26",47
"2021-11-27",46
"2021-11-28",54
"2021-11-29",61
"2021-11-30",61
"2021-12-01",61
"2021-12-02",57
"2021-12-03",51
"2021-12-04",54
"2021-12-05",63
"2021-12-06",63
"2021-12-07",61
"2021-12-08",62
"2021-12-09",62
"2021-12-10",58
"2021-12-11",60
"2021-12-12",70
"2021-12-13",74
"2021-12-14",70
"2021-12-15",68
"2021-12-16",69
"2021-12-17",60
"2021-12-18",65
"2021-12-19",77
"2021-12-20",82
"2021-12-21",75
"2021-12-22",73
"2021-12-23",66
"2021-12-24",56
"2021-12-25",59
"2021-12-26",73
"2021-12-27",76
"2021-12-28",76
"2021-12-29",78
"2021-12-30",73
"2021-12-31",66
"2022-01-01",69
"2022-01-02",92
"2022-01-03",100
"2022-01-04",97
"2022-01-05",88
"2022-01-06",77
"2022-01-07",69
"2022-01-08",70
"2022-01-09",82
"2022-01-10",83
"2022-01-11",80
"2022-01-12",75
"2022-01-13",72
"2022-01-14",63
"2022-01-15",61
"2022-01-16",71
"2022-01-17",73
"2022-01-18",71
"2022-01-19",66
"2022-01-20",64
"2022-01-21",58
"2022-01-22",58
"2022-01-23",68
"2022-01-24",71
"2022-01-25",66
