네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 60대이상

"날짜","도서"
"2021-07-09",25
"2021-07-10",24
"2021-07-11",31
"2021-07-12",32
"2021-07-13",33
"2021-07-14",29
"2021-07-15",28
"2021-07-16",27
"2021-07-17",27
"2021-07-18",28
"2021-07-19",32
"2021-07-20",30
"2021-07-21",33
"2021-07-22",30
"2021-07-23",29
"2021-07-24",27
"2021-07-25",24
"2021-07-26",32
"2021-07-27",28
"2021-07-28",29
"2021-07-29",29
"2021-07-30",24
"2021-07-31",24
"2021-08-01",29
"2021-08-02",27
"2021-08-03",29
"2021-08-04",23
"2021-08-05",29
"2021-08-06",28
"2021-08-07",25
"2021-08-08",30
"2021-08-09",34
"2021-08-10",29
"2021-08-11",28
"2021-08-12",28
"2021-08-13",28
"2021-08-14",29
"2021-08-15",31
"2021-08-16",33
"2021-08-17",31
"2021-08-18",32
"2021-08-19",34
"2021-08-20",34
"2021-08-21",32
"2021-08-22",28
"2021-08-23",41
"2021-08-24",41
"2021-08-25",34
"2021-08-26",33
"2021-08-27",33
"2021-08-28",31
"2021-08-29",31
"2021-08-30",33
"2021-08-31",38
"2021-09-01",43
"2021-09-02",43
"2021-09-03",45
"2021-09-04",31
"2021-09-05",33
"2021-09-06",38
"2021-09-07",45
"2021-09-08",43
"2021-09-09",39
"2021-09-10",35
"2021-09-11",30
"2021-09-12",31
"2021-09-13",37
"2021-09-14",39
"2021-09-15",33
"2021-09-16",35
"2021-09-17",33
"2021-09-18",27
"2021-09-19",25
"2021-09-20",27
"2021-09-21",29
"2021-09-22",32
"2021-09-23",43
"2021-09-24",41
"2021-09-25",31
"2021-09-26",30
"2021-09-27",32
"2021-09-28",34
"2021-09-29",37
"2021-09-30",33
"2021-10-01",36
"2021-10-02",25
"2021-10-03",33
"2021-10-04",35
"2021-10-05",35
"2021-10-06",38
"2021-10-07",40
"2021-10-08",37
"2021-10-09",29
"2021-10-10",35
"2021-10-11",34
"2021-10-12",36
"2021-10-13",33
"2021-10-14",40
"2021-10-15",32
"2021-10-16",35
"2021-10-17",34
"2021-10-18",37
"2021-10-19",41
"2021-10-20",35
"2021-10-21",35
"2021-10-22",31
"2021-10-23",33
"2021-10-24",29
"2021-10-25",39
"2021-10-26",39
"2021-10-27",40
"2021-10-28",38
"2021-10-29",39
"2021-10-30",40
"2021-10-31",39
"2021-11-01",51
"2021-11-02",49
"2021-11-03",45
"2021-11-04",44
"2021-11-05",45
"2021-11-06",37
"2021-11-07",39
"2021-11-08",50
"2021-11-09",47
"2021-11-10",49
"2021-11-11",46
"2021-11-12",40
"2021-11-13",38
"2021-11-14",39
"2021-11-15",43
"2021-11-16",43
"2021-11-17",41
"2021-11-18",36
"2021-11-19",45
"2021-11-20",46
"2021-11-21",45
"2021-11-22",48
"2021-11-23",52
"2021-11-24",51
"2021-11-25",50
"2021-11-26",48
"2021-11-27",44
"2021-11-28",50
"2021-11-29",55
"2021-11-30",62
"2021-12-01",57
"2021-12-02",58
"2021-12-03",54
"2021-12-04",50
"2021-12-05",66
"2021-12-06",60
"2021-12-07",59
"2021-12-08",63
"2021-12-09",56
"2021-12-10",58
"2021-12-11",53
"2021-12-12",61
"2021-12-13",62
"2021-12-14",71
"2021-12-15",71
"2021-12-16",69
"2021-12-17",70
"2021-12-18",64
"2021-12-19",72
"2021-12-20",66
"2021-12-21",71
"2021-12-22",70
"2021-12-23",65
"2021-12-24",60
"2021-12-25",60
"2021-12-26",71
"2021-12-27",75
"2021-12-28",84
"2021-12-29",89
"2021-12-30",83
"2021-12-31",82
"2022-01-01",84
"2022-01-02",87
"2022-01-03",100
"2022-01-04",97
"2022-01-05",94
"2022-01-06",74
"2022-01-07",78
"2022-01-08",66
"2022-01-09",72
"2022-01-10",74
"2022-01-11",79
"2022-01-12",77
"2022-01-13",76
"2022-01-14",70
"2022-01-15",72
"2022-01-16",75
"2022-01-17",81
"2022-01-18",74
"2022-01-19",68
"2022-01-20",76
"2022-01-21",64
"2022-01-22",70
"2022-01-23",66
"2022-01-24",77
"2022-01-25",83
"2022-01-26",75
"2022-01-27",65
"2022-01-28",60
"2022-01-29",58
"2022-01-30",61
"2022-01-31",53
"2022-02-01",55
"2022-02-02",72
"2022-02-03",71
"2022-02-04",72
"2022-02-05",66
"2022-02-06",67
"2022-02-07",78
"2022-02-08",69
"2022-02-09",68
"2022-02-10",60
"2022-02-11",64
"2022-02-12",57
"2022-02-13",66
"2022-02-14",70
"2022-02-15",74
"2022-02-16",66
"2022-02-17",64
"2022-02-18",64
"2022-02-19",69
"2022-02-20",70
"2022-02-21",75
"2022-02-22",69
"2022-02-23",69
"2022-02-24",66
"2022-02-25",57
"2022-02-26",64
"2022-02-27",55
"2022-02-28",65
"2022-03-01",66
"2022-03-02",75
"2022-03-03",67
"2022-03-04",63
"2022-03-05",67
"2022-03-06",70
"2022-03-07",76
"2022-03-08",63
"2022-03-09",50
"2022-03-10",58
"2022-03-11",62
"2022-03-12",52
"2022-03-13",62
"2022-03-14",67
"2022-03-15",66
"2022-03-16",59
"2022-03-17",61
"2022-03-18",58
"2022-03-19",51
"2022-03-20",54
"2022-03-21",62
"2022-03-22",63
"2022-03-23",62
"2022-03-24",56
"2022-03-25",50
"2022-03-26",63
"2022-03-27",51
"2022-03-28",61
"2022-03-29",61
"2022-03-30",60
"2022-03-31",59
"2022-04-01",49
"2022-04-02",47
"2022-04-03",52
"2022-04-04",57
"2022-04-05",57
"2022-04-06",57
"2022-04-07",51
"2022-04-08",48
"2022-04-09",48
"2022-04-10",40
"2022-04-11",48
"2022-04-12",46
"2022-04-13",53
"2022-04-14",54
"2022-04-15",45
"2022-04-16",47
"2022-04-17",40
"2022-04-18",55
"2022-04-19",51
"2022-04-20",47
"2022-04-21",52
"2022-04-22",49
"2022-04-23",55
"2022-04-24",51
"2022-04-25",57
"2022-04-26",66
"2022-04-27",55
"2022-04-28",57
"2022-04-29",49
"2022-04-30",49
"2022-05-01",48
"2022-05-02",61
"2022-05-03",55
"2022-05-04",46
"2022-05-05",45
"2022-05-06",45
"2022-05-07",43
"2022-05-08",47
"2022-05-09",51
"2022-05-10",48
"2022-05-11",52
"2022-05-12",46
"2022-05-13",43
"2022-05-14",43
"2022-05-15",43
"2022-05-16",48
"2022-05-17",50
"2022-05-18",51
"2022-05-19",45
"2022-05-20",40
"2022-05-21",38
"2022-05-22",40
"2022-05-23",42
"2022-05-24",47
"2022-05-25",45
"2022-05-26",49
"2022-05-27",43
"2022-05-28",36
"2022-05-29",39
"2022-05-30",51
"2022-05-31",43
"2022-06-01",40
"2022-06-02",45
"2022-06-03",43
"2022-06-04",43
"2022-06-05",40
"2022-06-06",44
"2022-06-07",47
"2022-06-08",48
"2022-06-09",48
"2022-06-10",38
"2022-06-11",34
"2022-06-12",41
"2022-06-13",48
"2022-06-14",52
"2022-06-15",48
"2022-06-16",46
"2022-06-17",51
"2022-06-18",37
"2022-06-19",42
"2022-06-20",52
"2022-06-21",43
"2022-06-22",41
"2022-06-23",47
"2022-06-24",44
"2022-06-25",36
"2022-06-26",40
"2022-06-27",47
"2022-06-28",50
"2022-06-29",45
"2022-06-30",46
"2022-07-01",43
"2022-07-02",38
"2022-07-03",40
"2022-07-04",43
"2022-07-05",45
"2022-07-06",42
"2022-07-07",40
"2022-07-08",21
"2022-07-09",4
