네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 30대

"날짜","도서"
"2021-07-09",42
"2021-07-10",38
"2021-07-11",42
"2021-07-12",51
"2021-07-13",52
"2021-07-14",53
"2021-07-15",51
"2021-07-16",45
"2021-07-17",40
"2021-07-18",43
"2021-07-19",53
"2021-07-20",55
"2021-07-21",56
"2021-07-22",54
"2021-07-23",51
"2021-07-24",42
"2021-07-25",45
"2021-07-26",51
"2021-07-27",52
"2021-07-28",50
"2021-07-29",49
"2021-07-30",44
"2021-07-31",38
"2021-08-01",44
"2021-08-02",49
"2021-08-03",50
"2021-08-04",50
"2021-08-05",50
"2021-08-06",45
"2021-08-07",41
"2021-08-08",48
"2021-08-09",55
"2021-08-10",52
"2021-08-11",49
"2021-08-12",54
"2021-08-13",47
"2021-08-14",41
"2021-08-15",41
"2021-08-16",48
"2021-08-17",54
"2021-08-18",56
"2021-08-19",54
"2021-08-20",48
"2021-08-21",45
"2021-08-22",49
"2021-08-23",60
"2021-08-24",63
"2021-08-25",65
"2021-08-26",59
"2021-08-27",53
"2021-08-28",43
"2021-08-29",47
"2021-08-30",57
"2021-08-31",61
"2021-09-01",64
"2021-09-02",60
"2021-09-03",52
"2021-09-04",42
"2021-09-05",47
"2021-09-06",57
"2021-09-07",61
"2021-09-08",57
"2021-09-09",56
"2021-09-10",47
"2021-09-11",42
"2021-09-12",46
"2021-09-13",53
"2021-09-14",54
"2021-09-15",50
"2021-09-16",44
"2021-09-17",33
"2021-09-18",30
"2021-09-19",27
"2021-09-20",24
"2021-09-21",26
"2021-09-22",36
"2021-09-23",49
"2021-09-24",47
"2021-09-25",42
"2021-09-26",46
"2021-09-27",54
"2021-09-28",54
"2021-09-29",55
"2021-09-30",52
"2021-10-01",46
"2021-10-02",39
"2021-10-03",38
"2021-10-04",48
"2021-10-05",56
"2021-10-06",57
"2021-10-07",56
"2021-10-08",49
"2021-10-09",38
"2021-10-10",41
"2021-10-11",49
"2021-10-12",52
"2021-10-13",52
"2021-10-14",54
"2021-10-15",46
"2021-10-16",40
"2021-10-17",41
"2021-10-18",46
"2021-10-19",48
"2021-10-20",47
"2021-10-21",48
"2021-10-22",43
"2021-10-23",37
"2021-10-24",43
"2021-10-25",51
"2021-10-26",52
"2021-10-27",51
"2021-10-28",50
"2021-10-29",44
"2021-10-30",40
"2021-10-31",46
"2021-11-01",57
"2021-11-02",59
"2021-11-03",61
"2021-11-04",61
"2021-11-05",53
"2021-11-06",44
"2021-11-07",48
"2021-11-08",61
"2021-11-09",63
"2021-11-10",62
"2021-11-11",61
"2021-11-12",53
"2021-11-13",44
"2021-11-14",48
"2021-11-15",56
"2021-11-16",61
"2021-11-17",60
"2021-11-18",60
"2021-11-19",58
"2021-11-20",51
"2021-11-21",59
"2021-11-22",66
"2021-11-23",66
"2021-11-24",69
"2021-11-25",68
"2021-11-26",60
"2021-11-27",54
"2021-11-28",60
"2021-11-29",73
"2021-11-30",78
"2021-12-01",78
"2021-12-02",76
"2021-12-03",70
"2021-12-04",62
"2021-12-05",69
"2021-12-06",82
"2021-12-07",84
"2021-12-08",86
"2021-12-09",83
"2021-12-10",80
"2021-12-11",69
"2021-12-12",77
"2021-12-13",89
"2021-12-14",92
"2021-12-15",97
"2021-12-16",93
"2021-12-17",84
"2021-12-18",73
"2021-12-19",83
"2021-12-20",100
"2021-12-21",100
"2021-12-22",92
"2021-12-23",86
"2021-12-24",63
"2021-12-25",53
"2021-12-26",71
"2021-12-27",91
"2021-12-28",90
"2021-12-29",88
"2021-12-30",85
"2021-12-31",65
"2022-01-01",55
"2022-01-02",74
"2022-01-03",91
"2022-01-04",92
"2022-01-05",85
"2022-01-06",82
"2022-01-07",73
"2022-01-08",65
"2022-01-09",70
"2022-01-10",83
"2022-01-11",79
"2022-01-12",79
"2022-01-13",78
"2022-01-14",68
"2022-01-15",59
"2022-01-16",66
"2022-01-17",72
"2022-01-18",73
"2022-01-19",71
"2022-01-20",68
"2022-01-21",63
"2022-01-22",56
"2022-01-23",61
"2022-01-24",70
"2022-01-25",68
"2022-01-26",67
"2022-01-27",60
"2022-01-28",50
"2022-01-29",45
"2022-01-30",43
"2022-01-31",41
"2022-02-01",42
"2022-02-02",61
"2022-02-03",74
"2022-02-04",70
"2022-02-05",68
"2022-02-06",73
"2022-02-07",77
"2022-02-08",73
"2022-02-09",72
"2022-02-10",69
"2022-02-11",63
"2022-02-12",57
"2022-02-13",63
"2022-02-14",68
"2022-02-15",71
"2022-02-16",69
"2022-02-17",68
"2022-02-18",60
"2022-02-19",60
"2022-02-20",63
"2022-02-21",70
"2022-02-22",70
"2022-02-23",72
"2022-02-24",68
"2022-02-25",61
"2022-02-26",59
"2022-02-27",58
"2022-02-28",61
"2022-03-01",66
"2022-03-02",67
"2022-03-03",67
"2022-03-04",63
"2022-03-05",61
"2022-03-06",62
"2022-03-07",71
"2022-03-08",67
"2022-03-09",59
"2022-03-10",62
"2022-03-11",60
"2022-03-12",55
"2022-03-13",62
"2022-03-14",67
"2022-03-15",66
"2022-03-16",64
"2022-03-17",63
"2022-03-18",59
"2022-03-19",57
"2022-03-20",57
"2022-03-21",64
"2022-03-22",66
"2022-03-23",65
"2022-03-24",61
"2022-03-25",56
"2022-03-26",52
"2022-03-27",50
"2022-03-28",57
"2022-03-29",57
"2022-03-30",59
"2022-03-31",57
"2022-04-01",51
"2022-04-02",42
"2022-04-03",44
"2022-04-04",52
"2022-04-05",52
"2022-04-06",53
"2022-04-07",50
"2022-04-08",44
"2022-04-09",35
"2022-04-10",37
"2022-04-11",45
"2022-04-12",49
"2022-04-13",56
"2022-04-14",54
"2022-04-15",46
"2022-04-16",38
"2022-04-17",40
"2022-04-18",50
"2022-04-19",52
"2022-04-20",54
"2022-04-21",56
"2022-04-22",51
"2022-04-23",42
"2022-04-24",46
"2022-04-25",57
"2022-04-26",60
"2022-04-27",58
"2022-04-28",57
"2022-04-29",51
"2022-04-30",51
"2022-05-01",54
"2022-05-02",63
"2022-05-03",60
"2022-05-04",49
"2022-05-05",37
"2022-05-06",37
"2022-05-07",34
"2022-05-08",38
"2022-05-09",49
"2022-05-10",50
"2022-05-11",50
"2022-05-12",45
"2022-05-13",41
"2022-05-14",35
"2022-05-15",38
"2022-05-16",46
"2022-05-17",49
"2022-05-18",47
"2022-05-19",46
"2022-05-20",41
"2022-05-21",32
"2022-05-22",34
"2022-05-23",44
"2022-05-24",46
"2022-05-25",45
"2022-05-26",43
"2022-05-27",38
"2022-05-28",30
"2022-05-29",35
"2022-05-30",43
"2022-05-31",42
"2022-06-01",39
"2022-06-02",43
"2022-06-03",38
"2022-06-04",31
"2022-06-05",34
"2022-06-06",38
"2022-06-07",45
"2022-06-08",46
"2022-06-09",44
"2022-06-10",38
"2022-06-11",31
"2022-06-12",35
"2022-06-13",43
"2022-06-14",45
"2022-06-15",45
"2022-06-16",42
"2022-06-17",38
"2022-06-18",32
"2022-06-19",36
"2022-06-20",45
"2022-06-21",45
"2022-06-22",44
"2022-06-23",43
"2022-06-24",39
"2022-06-25",33
"2022-06-26",38
"2022-06-27",46
"2022-06-28",48
"2022-06-29",48
"2022-06-30",46
"2022-07-01",40
"2022-07-02",33
"2022-07-03",37
"2022-07-04",44
"2022-07-05",46
"2022-07-06",45
"2022-07-07",43
"2022-07-08",22
"2022-07-09",3
