네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
여가/생활편의
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 10대

"날짜","여가/생활편의"
"2021-07-09",45
"2021-07-10",48
"2021-07-11",47
"2021-07-12",38
"2021-07-13",39
"2021-07-14",38
"2021-07-15",40
"2021-07-16",44
"2021-07-17",46
"2021-07-18",48
"2021-07-19",46
"2021-07-20",42
"2021-07-21",42
"2021-07-22",47
"2021-07-23",63
"2021-07-24",49
"2021-07-25",47
"2021-07-26",49
"2021-07-27",45
"2021-07-28",51
"2021-07-29",51
"2021-07-30",52
"2021-07-31",48
"2021-08-01",58
"2021-08-02",57
"2021-08-03",52
"2021-08-04",48
"2021-08-05",49
"2021-08-06",50
"2021-08-07",51
"2021-08-08",49
"2021-08-09",51
"2021-08-10",52
"2021-08-11",51
"2021-08-12",54
"2021-08-13",53
"2021-08-14",50
"2021-08-15",45
"2021-08-16",47
"2021-08-17",39
"2021-08-18",36
"2021-08-19",35
"2021-08-20",35
"2021-08-21",45
"2021-08-22",37
"2021-08-23",31
"2021-08-24",29
"2021-08-25",34
"2021-08-26",32
"2021-08-27",34
"2021-08-28",40
"2021-08-29",41
"2021-08-30",34
"2021-08-31",30
"2021-09-01",37
"2021-09-02",32
"2021-09-03",34
"2021-09-04",41
"2021-09-05",40
"2021-09-06",31
"2021-09-07",28
"2021-09-08",30
"2021-09-09",34
"2021-09-10",35
"2021-09-11",43
"2021-09-12",40
"2021-09-13",32
"2021-09-14",32
"2021-09-15",32
"2021-09-16",35
"2021-09-17",37
"2021-09-18",47
"2021-09-19",46
"2021-09-20",48
"2021-09-21",57
"2021-09-22",59
"2021-09-23",43
"2021-09-24",47
"2021-09-25",48
"2021-09-26",45
"2021-09-27",41
"2021-09-28",33
"2021-09-29",32
"2021-09-30",37
"2021-10-01",45
"2021-10-02",51
"2021-10-03",46
"2021-10-04",42
"2021-10-05",37
"2021-10-06",34
"2021-10-07",39
"2021-10-08",50
"2021-10-09",55
"2021-10-10",50
"2021-10-11",43
"2021-10-12",32
"2021-10-13",37
"2021-10-14",33
"2021-10-15",39
"2021-10-16",44
"2021-10-17",45
"2021-10-18",32
"2021-10-19",32
"2021-10-20",35
"2021-10-21",39
"2021-10-22",43
"2021-10-23",47
"2021-10-24",43
"2021-10-25",43
"2021-10-26",37
"2021-10-27",40
"2021-10-28",41
"2021-10-29",53
"2021-10-30",57
"2021-10-31",55
"2021-11-01",48
"2021-11-02",42
"2021-11-03",43
"2021-11-04",40
"2021-11-05",43
"2021-11-06",50
"2021-11-07",51
"2021-11-08",39
"2021-11-09",39
"2021-11-10",47
"2021-11-11",63
"2021-11-12",43
"2021-11-13",41
"2021-11-14",43
"2021-11-15",44
"2021-11-16",40
"2021-11-17",39
"2021-11-18",38
"2021-11-19",49
"2021-11-20",48
"2021-11-21",51
"2021-11-22",43
"2021-11-23",44
"2021-11-24",44
"2021-11-25",50
"2021-11-26",53
"2021-11-27",66
"2021-11-28",59
"2021-11-29",57
"2021-11-30",55
"2021-12-01",59
"2021-12-02",55
"2021-12-03",55
"2021-12-04",63
"2021-12-05",60
"2021-12-06",62
"2021-12-07",55
"2021-12-08",60
"2021-12-09",58
"2021-12-10",64
"2021-12-11",68
"2021-12-12",72
"2021-12-13",63
"2021-12-14",61
"2021-12-15",60
"2021-12-16",65
"2021-12-17",66
"2021-12-18",70
"2021-12-19",74
"2021-12-20",69
"2021-12-21",65
"2021-12-22",64
"2021-12-23",78
"2021-12-24",90
"2021-12-25",100
"2021-12-26",80
"2021-12-27",73
"2021-12-28",72
"2021-12-29",79
"2021-12-30",80
"2021-12-31",88
"2022-01-01",74
"2022-01-02",63
"2022-01-03",53
"2022-01-04",51
"2022-01-05",56
"2022-01-06",49
"2022-01-07",48
"2022-01-08",51
"2022-01-09",54
"2022-01-10",50
"2022-01-11",50
"2022-01-12",57
"2022-01-13",53
"2022-01-14",49
"2022-01-15",51
"2022-01-16",54
"2022-01-17",49
"2022-01-18",47
"2022-01-19",49
"2022-01-20",47
"2022-01-21",53
"2022-01-22",53
"2022-01-23",49
"2022-01-24",55
"2022-01-25",54
"2022-01-26",51
"2022-01-27",55
"2022-01-28",51
"2022-01-29",52
"2022-01-30",54
"2022-01-31",48
"2022-02-01",71
"2022-02-02",74
"2022-02-03",71
"2022-02-04",61
"2022-02-05",61
"2022-02-06",56
"2022-02-07",47
"2022-02-08",46
"2022-02-09",46
"2022-02-10",51
"2022-02-11",53
"2022-02-12",52
"2022-02-13",53
"2022-02-14",57
"2022-02-15",52
"2022-02-16",47
"2022-02-17",49
"2022-02-18",48
"2022-02-19",50
"2022-02-20",46
"2022-02-21",47
"2022-02-22",45
"2022-02-23",48
"2022-02-24",46
"2022-02-25",45
"2022-02-26",45
"2022-02-27",42
"2022-02-28",41
"2022-03-01",43
"2022-03-02",30
"2022-03-03",25
"2022-03-04",28
"2022-03-05",37
"2022-03-06",37
"2022-03-07",24
"2022-03-08",25
"2022-03-09",36
"2022-03-10",26
"2022-03-11",31
"2022-03-12",40
"2022-03-13",45
"2022-03-14",51
"2022-03-15",29
"2022-03-16",31
"2022-03-17",26
"2022-03-18",26
"2022-03-19",40
"2022-03-20",38
"2022-03-21",29
"2022-03-22",28
"2022-03-23",24
"2022-03-24",25
"2022-03-25",29
"2022-03-26",38
"2022-03-27",40
"2022-03-28",27
"2022-03-29",26
"2022-03-30",27
"2022-03-31",30
"2022-04-01",36
"2022-04-02",43
"2022-04-03",37
"2022-04-04",28
"2022-04-05",27
"2022-04-06",26
"2022-04-07",27
"2022-04-08",27
"2022-04-09",36
"2022-04-10",35
"2022-04-11",30
"2022-04-12",24
"2022-04-13",29
"2022-04-14",28
"2022-04-15",31
"2022-04-16",40
"2022-04-17",42
"2022-04-18",27
"2022-04-19",27
"2022-04-20",29
"2022-04-21",31
"2022-04-22",31
"2022-04-23",41
"2022-04-24",41
"2022-04-25",36
"2022-04-26",36
"2022-04-27",40
"2022-04-28",47
"2022-04-29",52
"2022-04-30",66
"2022-05-01",60
"2022-05-02",48
"2022-05-03",49
"2022-05-04",63
"2022-05-05",82
"2022-05-06",71
"2022-05-07",52
"2022-05-08",59
"2022-05-09",36
"2022-05-10",32
"2022-05-11",28
"2022-05-12",33
"2022-05-13",39
"2022-05-14",48
"2022-05-15",46
"2022-05-16",33
"2022-05-17",30
"2022-05-18",29
"2022-05-19",33
"2022-05-20",34
"2022-05-21",48
"2022-05-22",50
"2022-05-23",34
"2022-05-24",36
"2022-05-25",33
"2022-05-26",32
"2022-05-27",37
"2022-05-28",50
"2022-05-29",47
"2022-05-30",37
"2022-05-31",40
"2022-06-01",53
"2022-06-02",37
"2022-06-03",40
"2022-06-04",53
"2022-06-05",57
"2022-06-06",45
"2022-06-07",36
"2022-06-08",31
"2022-06-09",29
"2022-06-10",33
"2022-06-11",44
"2022-06-12",50
"2022-06-13",35
"2022-06-14",36
"2022-06-15",36
"2022-06-16",36
"2022-06-17",36
"2022-06-18",46
"2022-06-19",50
"2022-06-20",37
"2022-06-21",34
"2022-06-22",37
"2022-06-23",37
"2022-06-24",41
"2022-06-25",50
"2022-06-26",52
"2022-06-27",41
"2022-06-28",38
"2022-06-29",41
"2022-06-30",54
"2022-07-01",65
"2022-07-02",67
"2022-07-03",66
"2022-07-04",54
"2022-07-05",50
"2022-07-06",50
"2022-07-07",55
"2022-07-08",55
"2022-07-09",60
