네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
여가/생활편의
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 60대이상

"날짜","여가/생활편의"
"2021-07-09",30
"2021-07-10",32
"2021-07-11",34
"2021-07-12",34
"2021-07-13",35
"2021-07-14",36
"2021-07-15",34
"2021-07-16",33
"2021-07-17",33
"2021-07-18",37
"2021-07-19",38
"2021-07-20",35
"2021-07-21",33
"2021-07-22",35
"2021-07-23",34
"2021-07-24",32
"2021-07-25",31
"2021-07-26",33
"2021-07-27",36
"2021-07-28",34
"2021-07-29",37
"2021-07-30",35
"2021-07-31",35
"2021-08-01",41
"2021-08-02",39
"2021-08-03",39
"2021-08-04",36
"2021-08-05",38
"2021-08-06",36
"2021-08-07",36
"2021-08-08",37
"2021-08-09",41
"2021-08-10",37
"2021-08-11",35
"2021-08-12",36
"2021-08-13",34
"2021-08-14",37
"2021-08-15",35
"2021-08-16",35
"2021-08-17",33
"2021-08-18",33
"2021-08-19",34
"2021-08-20",32
"2021-08-21",33
"2021-08-22",33
"2021-08-23",32
"2021-08-24",31
"2021-08-25",30
"2021-08-26",32
"2021-08-27",30
"2021-08-28",31
"2021-08-29",31
"2021-08-30",33
"2021-08-31",35
"2021-09-01",37
"2021-09-02",35
"2021-09-03",37
"2021-09-04",38
"2021-09-05",39
"2021-09-06",40
"2021-09-07",37
"2021-09-08",37
"2021-09-09",36
"2021-09-10",39
"2021-09-11",35
"2021-09-12",35
"2021-09-13",35
"2021-09-14",36
"2021-09-15",32
"2021-09-16",31
"2021-09-17",35
"2021-09-18",35
"2021-09-19",36
"2021-09-20",34
"2021-09-21",45
"2021-09-22",48
"2021-09-23",49
"2021-09-24",46
"2021-09-25",46
"2021-09-26",43
"2021-09-27",47
"2021-09-28",45
"2021-09-29",53
"2021-09-30",49
"2021-10-01",53
"2021-10-02",56
"2021-10-03",52
"2021-10-04",60
"2021-10-05",58
"2021-10-06",59
"2021-10-07",58
"2021-10-08",59
"2021-10-09",55
"2021-10-10",56
"2021-10-11",57
"2021-10-12",56
"2021-10-13",53
"2021-10-14",54
"2021-10-15",51
"2021-10-16",50
"2021-10-17",53
"2021-10-18",51
"2021-10-19",54
"2021-10-20",53
"2021-10-21",54
"2021-10-22",55
"2021-10-23",56
"2021-10-24",59
"2021-10-25",64
"2021-10-26",63
"2021-10-27",63
"2021-10-28",61
"2021-10-29",67
"2021-10-30",75
"2021-10-31",76
"2021-11-01",82
"2021-11-02",73
"2021-11-03",74
"2021-11-04",69
"2021-11-05",62
"2021-11-06",66
"2021-11-07",68
"2021-11-08",74
"2021-11-09",69
"2021-11-10",63
"2021-11-11",64
"2021-11-12",59
"2021-11-13",59
"2021-11-14",64
"2021-11-15",62
"2021-11-16",63
"2021-11-17",55
"2021-11-18",59
"2021-11-19",62
"2021-11-20",62
"2021-11-21",67
"2021-11-22",63
"2021-11-23",59
"2021-11-24",57
"2021-11-25",56
"2021-11-26",55
"2021-11-27",59
"2021-11-28",58
"2021-11-29",55
"2021-11-30",57
"2021-12-01",55
"2021-12-02",54
"2021-12-03",52
"2021-12-04",55
"2021-12-05",59
"2021-12-06",60
"2021-12-07",59
"2021-12-08",50
"2021-12-09",51
"2021-12-10",53
"2021-12-11",57
"2021-12-12",57
"2021-12-13",60
"2021-12-14",57
"2021-12-15",53
"2021-12-16",56
"2021-12-17",51
"2021-12-18",56
"2021-12-19",55
"2021-12-20",57
"2021-12-21",58
"2021-12-22",56
"2021-12-23",58
"2021-12-24",56
"2021-12-25",59
"2021-12-26",58
"2021-12-27",57
"2021-12-28",60
"2021-12-29",61
"2021-12-30",61
"2021-12-31",60
"2022-01-01",68
"2022-01-02",76
"2022-01-03",69
"2022-01-04",70
"2022-01-05",69
"2022-01-06",62
"2022-01-07",67
"2022-01-08",70
"2022-01-09",74
"2022-01-10",71
"2022-01-11",68
"2022-01-12",67
"2022-01-13",67
"2022-01-14",64
"2022-01-15",66
"2022-01-16",69
"2022-01-17",59
"2022-01-18",59
"2022-01-19",62
